sample_id,filename,filetype,path,total_gbp,coverage,n50
HG00609,HG00609_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00609_r10-hifiasm-correct.ec.ont.fq.gz,171.767,52.05,115725
HG00621,HG00621_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00621_r10-hifiasm-correct.ec.ont.fq.gz,233.532,70.77,96351
HG00639,HG00639_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00639_r10-hifiasm-correct.ec.ont.fq.gz,183.887,55.72,147767
HG00642,HG00642_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00642_r10-hifiasm-correct.ec.ont.fq.gz,150.699,45.67,120276
HG00658,HG00658_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00658_r10-hifiasm-correct.ec.ont.fq.gz,224.338,67.98,138568
HG00662,HG00662_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00662_r10-hifiasm-correct.ec.ont.fq.gz,197.203,59.76,101060
HG00673,HG00673_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00673_r10-hifiasm-correct.ec.ont.fq.gz,246.753,74.77,87936
HG00689,HG00689_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00689_r10-hifiasm-correct.ec.ont.fq.gz,193.95,58.77,108890
HG00701,HG00701_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00701_r10-hifiasm-correct.ec.ont.fq.gz,174.409,52.85,102780
HG00706,HG00706_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00706_r10-hifiasm-correct.ec.ont.fq.gz,175.908,53.31,105600
